No.;Time;Source;Destination;Protocol;Length;Info;;;;;;time 2;time 1;delay;delay 2; delay 1;jitter
619;290.907;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=691 Ack=1017 Win=16 Len=0;;;;;;3.142.219;290.907;0.233149;0.584028;-0.350879;0.934907
674;3.142.219;3.235.82.198;192.168.100.6;TCP;56;443  >  64617 [ACK] Seq=196 Ack=248 Win=53 Len=0;;;;;;3.726.247;3.142.219;0.584028;0.009902;0.574126;-0.564224
778;3.726.247;13.52.28.67;192.168.100.6;TLSv1.2;138;Application Data;;;;;;3.736.149;3.726.247;0.009902;0.060945;-0.051043;0.111988
779;3.736.149;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;3.797.094;3.736.149;0.060945;8.2E-05;0.060863;-0.060781
792;3.797.094;192.168.100.6;13.52.28.67;TLSv1.2;231;Application Data;;;;;;3.797.176;3.797.094;8.2E-05;7.2E-05;1,00E-05;6.2E-05
793;3.797.176;192.168.100.6;13.52.28.67;TLSv1.2;231;Application Data;;;;;;3.797.248;3.797.176;7.2E-05;0.069445;-0.069373;0.138818
794;3.797.248;192.168.100.6;13.52.28.67;TLSv1.2;232;Application Data;;;;;;3.866.693;3.797.248;0.069445;0.010952;0.058493;-0.047541
808;3.866.693;13.52.28.67;192.168.100.6;TLSv1.2;123;Application Data;;;;;;3.877.645;3.866.693;0.010952;0.112032;-0.10108;0.213112
809;3.877.645;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;3.989.677;3.877.645;0.112032;0.059537;0.052495;0.007042
835;3.989.677;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=844 Ack=1055 Win=16 Len=0;;;;;;4.049.214;3.989.677;0.059537;0;0.059537;-0.059537
853;4.049.214;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=844 Ack=1232 Win=16 Len=0;;;;;;4.049.214;4.049.214;0;0.001943;-0.001943;0.003886
854;4.049.214;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=844 Ack=1409 Win=16 Len=0;;;;;;4.051.157;4.049.214;0.001943;0.016183;-0.01424;0.030423
855;4.051.157;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=844 Ack=1587 Win=16 Len=0;;;;;;406.734;4.051.157;0.016183;0.040716;-0.024533;0.065249
859;406.734;13.52.28.67;192.168.100.6;TLSv1.2;92;Application Data;;;;;;4.108.056;406.734;0.040716;0.066096;-0.02538;0.091476
